DateTime,T(C),CO2(ppm),RH(%)
2024-01-10 18:00:00,7.03,400,56
2024-01-10 19:00:00,6.37,400,58
2024-01-10 20:00:00,5.7,400,60
2024-01-10 21:00:00,5,400,64.33
2024-01-10 22:00:00,4.3,400,68.67
2024-01-10 23:00:00,3.6,400,73
2024-01-11 00:00:00,3.13,400,77.67
2024-01-11 01:00:00,2.67,400,82.33
2024-01-11 02:00:00,2.2,400,87
2024-01-11 03:00:00,1.93,400,87
2024-01-11 04:00:00,1.67,400,87
2024-01-11 05:00:00,1.4,400,87
2024-01-11 06:00:00,1.43,400,89.33
2024-01-11 07:00:00,1.47,400,91.67
2024-01-11 08:00:00,1.5,400,94
2024-01-11 09:00:00,3.37,400,83.67
2024-01-11 10:00:00,5.23,400,73.33
2024-01-11 11:00:00,7.1,400,63
2024-01-11 12:00:00,8.93,400,56.33
2024-01-11 13:00:00,10.77,400,49.67
2024-01-11 14:00:00,12.6,400,43
2024-01-11 15:00:00,12.17,400,44
2024-01-11 16:00:00,11.73,400,45
2024-01-11 17:00:00,11.3,400,46
2024-01-11 18:00:00,10.37,400,48.33
2024-01-11 19:00:00,9.43,400,50.67
2024-01-11 20:00:00,8.5,400,53
2024-01-11 21:00:00,7.87,400,58.33
2024-01-11 22:00:00,7.23,400,63.67
2024-01-11 23:00:00,6.6,400,69
2024-01-12 00:00:00,6.1,400,71.67
2024-01-12 01:00:00,5.6,400,74.33
2024-01-12 02:00:00,5.1,400,77
2024-01-12 03:00:00,5,400,77.67
2024-01-12 04:00:00,4.9,400,78.33
2024-01-12 05:00:00,4.8,400,79
2024-01-12 06:00:00,5,400,78.33
2024-01-12 07:00:00,5.2,400,77.67
2024-01-12 08:00:00,5.4,400,77
2024-01-12 09:00:00,7.83,400,68.33
2024-01-12 10:00:00,10.27,400,59.67
2024-01-12 11:00:00,12.7,400,51
2024-01-12 12:00:00,14.73,400,43.67
2024-01-12 13:00:00,16.77,400,36.33
2024-01-12 14:00:00,18.8,400,29
2024-01-12 15:00:00,17.97,400,29.33
2024-01-12 16:00:00,17.13,400,29.67
2024-01-12 17:00:00,16.3,400,30
2024-01-12 18:00:00,15.13,400,34
2024-01-12 19:00:00,13.97,400,38
2024-01-12 20:00:00,12.8,400,42
2024-01-12 21:00:00,11.67,400,46.33
2024-01-12 22:00:00,10.53,400,50.67
2024-01-12 23:00:00,9.4,400,55
2024-01-13 00:00:00,8.4,400,59.33
2024-01-13 01:00:00,7.4,400,63.67
2024-01-13 02:00:00,6.4,400,68
2024-01-13 03:00:00,5.97,400,73
2024-01-13 04:00:00,5.53,400,78
2024-01-13 05:00:00,5.1,400,83
2024-01-13 06:00:00,5.3,400,83
2024-01-13 07:00:00,5.5,400,83
2024-01-13 08:00:00,5.7,400,83
2024-01-13 09:00:00,8.33,400,71.33
2024-01-13 10:00:00,10.97,400,59.67
2024-01-13 11:00:00,13.6,400,48
2024-01-13 12:00:00,15.27,400,42.67
2024-01-13 13:00:00,16.93,400,37.33
2024-01-13 14:00:00,18.6,400,32
2024-01-13 15:00:00,17.9,400,35.33
2024-01-13 16:00:00,17.2,400,38.67
2024-01-13 17:00:00,16.5,400,42
2024-01-13 18:00:00,15.07,400,47
2024-01-13 19:00:00,13.63,400,52
2024-01-13 20:00:00,12.2,400,57
2024-01-13 21:00:00,11.17,400,61.67
2024-01-13 22:00:00,10.13,400,66.33
2024-01-13 23:00:00,9.1,400,71
2024-01-14 00:00:00,8.6,400,74
2024-01-14 01:00:00,8.1,400,77
2024-01-14 02:00:00,7.6,400,80
2024-01-14 03:00:00,7.33,400,81
2024-01-14 04:00:00,7.07,400,82
2024-01-14 05:00:00,6.8,400,83
2024-01-14 06:00:00,7.3,400,79.67
2024-01-14 07:00:00,7.8,400,76.33
2024-01-14 08:00:00,8.3,400,73
2024-01-14 09:00:00,10.6,400,64.33
2024-01-14 10:00:00,12.9,400,55.67
2024-01-14 11:00:00,15.2,400,47
2024-01-14 12:00:00,17.5,400,41
2024-01-14 13:00:00,19.8,400,35
2024-01-14 14:00:00,22.1,400,29
2024-01-14 15:00:00,21.27,400,30.67
2024-01-14 16:00:00,20.43,400,32.33
2024-01-14 17:00:00,19.6,400,34
2024-01-14 18:00:00,18.07,400,41.67
2024-01-14 19:00:00,16.53,400,49.33
2024-01-14 20:00:00,15,400,57
2024-01-14 21:00:00,13.37,400,63
2024-01-14 22:00:00,11.73,400,69
2024-01-14 23:00:00,10.1,400,75
2024-01-15 00:00:00,9.33,400,78.33
2024-01-15 01:00:00,8.57,400,81.67
2024-01-15 02:00:00,7.8,400,85
2024-01-15 03:00:00,7.37,400,85.67
2024-01-15 04:00:00,6.93,400,86.33
2024-01-15 05:00:00,6.5,400,87
2024-01-15 06:00:00,6.37,400,82.33
2024-01-15 07:00:00,6.23,400,77.67
2024-01-15 08:00:00,6.1,400,73
2024-01-15 09:00:00,6.27,400,70
2024-01-15 10:00:00,6.43,400,67
2024-01-15 11:00:00,6.6,400,64
2024-01-15 12:00:00,6.93,400,62.33
2024-01-15 13:00:00,7.27,400,60.67
2024-01-15 14:00:00,7.6,400,59
2024-01-15 15:00:00,7.67,400,57
2024-01-15 16:00:00,7.73,400,55
2024-01-15 17:00:00,7.8,400,53
2024-01-15 18:00:00,6.93,400,56
2024-01-15 19:00:00,6.07,400,59
2024-01-15 20:00:00,5.2,400,62
2024-01-15 21:00:00,4.8,400,65.67
2024-01-15 22:00:00,4.4,400,69.33
2024-01-15 23:00:00,4,400,73
2024-01-16 00:00:00,4.07,400,73.33
2024-01-16 01:00:00,4.13,400,73.67
2024-01-16 02:00:00,4.2,400,74
2024-01-16 03:00:00,3.9,400,74.33
2024-01-16 04:00:00,3.6,400,74.67
2024-01-16 05:00:00,3.3,400,75
2024-01-16 06:00:00,3.67,400,72.67
2024-01-16 07:00:00,4.03,400,70.33
2024-01-16 08:00:00,4.4,400,68
2024-01-16 09:00:00,5.5,400,63.33
2024-01-16 10:00:00,6.6,400,58.67
2024-01-16 11:00:00,7.7,400,54
2024-01-16 12:00:00,9.1,400,50.67
2024-01-16 13:00:00,10.5,400,47.33
2024-01-16 14:00:00,11.9,400,44
2024-01-16 15:00:00,11.77,400,45.33
2024-01-16 16:00:00,11.63,400,46.67
2024-01-16 17:00:00,11.5,400,48
2024-01-16 18:00:00,10.67,400,54.67
2024-01-16 19:00:00,9.83,400,61.33
2024-01-16 20:00:00,9,400,68
2024-01-16 21:00:00,8.27,400,73.33
2024-01-16 22:00:00,7.53,400,78.67
2024-01-16 23:00:00,6.8,400,84
2024-01-17 00:00:00,6.47,400,83.33
2024-01-17 01:00:00,6.13,400,82.67
2024-01-17 02:00:00,5.8,400,82
2024-01-17 03:00:00,5.73,400,83
2024-01-17 04:00:00,5.67,400,84
2024-01-17 05:00:00,5.6,400,85
2024-01-17 06:00:00,6.07,400,83.33
2024-01-17 07:00:00,6.53,400,81.67
2024-01-17 08:00:00,7,400,80
2024-01-17 09:00:00,9.33,400,71.33
2024-01-17 10:00:00,11.67,400,62.67
2024-01-17 11:00:00,14,400,54
2024-01-17 12:00:00,15.83,400,49.33
2024-01-17 13:00:00,17.67,400,44.67
2024-01-17 14:00:00,19.5,400,40
2024-01-17 15:00:00,19.23,400,41
2024-01-17 16:00:00,18.97,400,42
2024-01-17 17:00:00,18.7,400,43
2024-01-17 18:00:00,17.03,400,49
2024-01-17 19:00:00,15.37,400,55
2024-01-17 20:00:00,13.7,400,61
2024-01-17 21:00:00,12.77,400,64.67
2024-01-17 22:00:00,11.83,400,68.33
2024-01-17 23:00:00,10.9,400,72
2024-01-18 00:00:00,10.63,400,73
2024-01-18 01:00:00,10.37,400,74
2024-01-18 02:00:00,10.1,400,75
2024-01-18 03:00:00,9.93,400,76
2024-01-18 04:00:00,9.77,400,77
2024-01-18 05:00:00,9.6,400,78
2024-01-18 06:00:00,9.53,400,79
2024-01-18 07:00:00,9.47,400,80
2024-01-18 08:00:00,9.4,400,81
2024-01-18 09:00:00,9.47,400,81
2024-01-18 10:00:00,9.53,400,81
2024-01-18 11:00:00,9.6,400,81
2024-01-18 12:00:00,9.4,400,81.67
2024-01-18 13:00:00,9.2,400,82.33
2024-01-18 14:00:00,9,400,83
2024-01-18 15:00:00,8.9,400,84
2024-01-18 16:00:00,8.8,400,85
2024-01-18 17:00:00,8.7,400,86
2024-01-18 18:00:00,8.57,400,86.67
2024-01-18 19:00:00,8.43,400,87.33
2024-01-18 20:00:00,8.3,400,88
2024-01-18 21:00:00,8.23,400,90
2024-01-18 22:00:00,8.17,400,92
2024-01-18 23:00:00,8.1,400,94
2024-01-19 00:00:00,8.13,400,94.67
2024-01-19 01:00:00,8.17,400,95.33
2024-01-19 02:00:00,8.2,400,96
2024-01-19 03:00:00,8.23,400,96.33
2024-01-19 04:00:00,8.27,400,96.67
2024-01-19 05:00:00,8.3,400,97
2024-01-19 06:00:00,8.47,400,96.67
2024-01-19 07:00:00,8.63,400,96.33
2024-01-19 08:00:00,8.8,400,96
2024-01-19 09:00:00,8.93,400,96
2024-01-19 10:00:00,9.07,400,96
2024-01-19 11:00:00,9.2,400,96
2024-01-19 12:00:00,9.23,400,95
2024-01-19 13:00:00,9.27,400,94
2024-01-19 14:00:00,9.3,400,93
2024-01-19 15:00:00,9.1,400,94.33
2024-01-19 16:00:00,8.9,400,95.67
2024-01-19 17:00:00,8.7,400,97
2024-01-19 18:00:00,8.37,400,96
2024-01-19 19:00:00,8.03,400,95
2024-01-19 20:00:00,7.7,400,94
2024-01-19 21:00:00,7.5,400,94.33
2024-01-19 22:00:00,7.3,400,94.67
2024-01-19 23:00:00,7.1,400,95
2024-01-20 00:00:00,6.97,400,94.67
2024-01-20 01:00:00,6.83,400,94.33
2024-01-20 02:00:00,6.7,400,94
2024-01-20 03:00:00,6.53,400,94
2024-01-20 04:00:00,6.37,400,94
2024-01-20 05:00:00,6.2,400,94
2024-01-20 06:00:00,6.03,400,93.33
2024-01-20 07:00:00,5.87,400,92.67
2024-01-20 08:00:00,5.7,400,92
2024-01-20 09:00:00,5.73,400,92
2024-01-20 10:00:00,5.77,400,92
2024-01-20 11:00:00,5.8,400,92
2024-01-20 12:00:00,5.87,400,90.67
2024-01-20 13:00:00,5.93,400,89.33
2024-01-20 14:00:00,6,400,88
2024-01-20 15:00:00,5.93,400,85
2024-01-20 16:00:00,5.87,400,82
2024-01-20 17:00:00,5.8,400,79
2024-01-20 18:00:00,5.43,400,79.33
2024-01-20 19:00:00,5.07,400,79.67
2024-01-20 20:00:00,4.7,400,80
2024-01-20 21:00:00,4.67,400,80.33
2024-01-20 22:00:00,4.63,400,80.67
2024-01-20 23:00:00,4.6,400,81
2024-01-21 00:00:00,4.53,400,81
2024-01-21 01:00:00,4.47,400,81
2024-01-21 02:00:00,4.4,400,81
2024-01-21 03:00:00,4.37,400,81.33
2024-01-21 04:00:00,4.33,400,81.67
2024-01-21 05:00:00,4.3,400,82
2024-01-21 06:00:00,4.3,400,81.33
2024-01-21 07:00:00,4.3,400,80.67
2024-01-21 08:00:00,4.3,400,80
2024-01-21 09:00:00,4.67,400,78.33
2024-01-21 10:00:00,5.03,400,76.67
2024-01-21 11:00:00,5.4,400,75
2024-01-21 12:00:00,5.57,400,74.33
2024-01-21 13:00:00,5.73,400,73.67
2024-01-21 14:00:00,5.9,400,73
2024-01-21 15:00:00,5.6,400,75.33
2024-01-21 16:00:00,5.3,400,77.67
2024-01-21 17:00:00,5,400,80
2024-01-21 18:00:00,4.63,400,81.33
2024-01-21 19:00:00,4.27,400,82.67
2024-01-21 20:00:00,3.9,400,84
2024-01-21 21:00:00,3.53,400,81.33
2024-01-21 22:00:00,3.17,400,78.67
2024-01-21 23:00:00,2.8,400,76
2024-01-22 00:00:00,2.67,400,73.33
2024-01-22 01:00:00,2.53,400,70.67
2024-01-22 02:00:00,2.4,400,68
2024-01-22 03:00:00,2.07,400,67
2024-01-22 04:00:00,1.73,400,66
2024-01-22 05:00:00,1.4,400,65
2024-01-22 06:00:00,1.2,400,65.67
2024-01-22 07:00:00,1,400,66.33
2024-01-22 08:00:00,0.8,400,67
2024-01-22 09:00:00,0.83,400,66.33
2024-01-22 10:00:00,0.87,400,65.67
2024-01-22 11:00:00,0.9,400,65
2024-01-22 12:00:00,1.2,400,58
2024-01-22 13:00:00,1.5,400,51
2024-01-22 14:00:00,1.8,400,44
2024-01-22 15:00:00,1.2,400,43.67
2024-01-22 16:00:00,0.6,400,43.33
2024-01-22 17:00:00,0,400,43
2024-01-22 18:00:00,-0.43,400,42.33
2024-01-22 19:00:00,-0.87,400,41.67
2024-01-22 20:00:00,-1.3,400,41
2024-01-22 21:00:00,-1.6,400,41.33
2024-01-22 22:00:00,-1.9,400,41.67
2024-01-22 23:00:00,-2.2,400,42
2024-01-23 00:00:00,-2.57,400,43.33
2024-01-23 01:00:00,-2.93,400,44.67
2024-01-23 02:00:00,-3.3,400,46
2024-01-23 03:00:00,-3.6,400,46
2024-01-23 04:00:00,-3.9,400,46
2024-01-23 05:00:00,-4.2,400,46
2024-01-23 06:00:00,-4.1,400,45
2024-01-23 07:00:00,-4,400,44
2024-01-23 08:00:00,-3.9,400,43
2024-01-23 09:00:00,-3,400,41
2024-01-23 10:00:00,-2.1,400,39
2024-01-23 11:00:00,-1.2,400,37
2024-01-23 12:00:00,-0.2,400,34
2024-01-23 13:00:00,0.8,400,31
2024-01-23 14:00:00,1.8,400,28
2024-01-23 15:00:00,1.47,400,28
2024-01-23 16:00:00,1.13,400,28
2024-01-23 17:00:00,0.8,400,28
2024-01-23 18:00:00,0.17,400,31.33
2024-01-23 19:00:00,-0.47,400,34.67
2024-01-23 20:00:00,-1.1,400,38
2024-01-23 21:00:00,-1.37,400,39.33
2024-01-23 22:00:00,-1.63,400,40.67
2024-01-23 23:00:00,-1.9,400,42
2024-01-24 00:00:00,-2.1,400,42.67
2024-01-24 01:00:00,-2.3,400,43.33
2024-01-24 02:00:00,-2.5,400,44
2024-01-24 03:00:00,-2.73,400,44.67
2024-01-24 04:00:00,-2.97,400,45.33
2024-01-24 05:00:00,-3.2,400,46
2024-01-24 06:00:00,-3.03,400,50
2024-01-24 07:00:00,-2.87,400,54
2024-01-24 08:00:00,-2.7,400,58
2024-01-24 09:00:00,-1.3,400,49
2024-01-24 10:00:00,0.1,400,40
2024-01-24 11:00:00,1.5,400,31
2024-01-24 12:00:00,2.6,400,28.67
2024-01-24 13:00:00,3.7,400,26.33
2024-01-24 14:00:00,4.8,400,24
2024-01-24 15:00:00,4.63,400,24.67
2024-01-24 16:00:00,4.47,400,25.33
2024-01-24 17:00:00,4.3,400,26
2024-01-24 18:00:00,3.63,400,28
2024-01-24 19:00:00,2.97,400,30
2024-01-24 20:00:00,2.3,400,32
2024-01-24 21:00:00,2,400,35
2024-01-24 22:00:00,1.7,400,38
2024-01-24 23:00:00,1.4,400,41
2024-01-25 00:00:00,1.27,400,42.33
2024-01-25 01:00:00,1.13,400,43.67
2024-01-25 02:00:00,1,400,45
2024-01-25 03:00:00,1.13,400,45.33
2024-01-25 04:00:00,1.27,400,45.67
2024-01-25 05:00:00,1.4,400,46
2024-01-25 06:00:00,1.47,400,46
2024-01-25 07:00:00,1.53,400,46
2024-01-25 08:00:00,1.6,400,46
2024-01-25 09:00:00,2.7,400,41.33
2024-01-25 10:00:00,3.8,400,36.67
2024-01-25 11:00:00,4.9,400,32
2024-01-25 12:00:00,5.93,400,30
2024-01-25 13:00:00,6.97,400,28
2024-01-25 14:00:00,8,400,26
2024-01-25 15:00:00,7.6,400,27.33
2024-01-25 16:00:00,7.2,400,28.67
2024-01-25 17:00:00,6.8,400,30
2024-01-25 18:00:00,5.67,400,33.67
2024-01-25 19:00:00,4.53,400,37.33
2024-01-25 20:00:00,3.4,400,41
2024-01-25 21:00:00,2.8,400,43.67
2024-01-25 22:00:00,2.2,400,46.33
2024-01-25 23:00:00,1.6,400,49
2024-01-26 00:00:00,0.93,400,52.33
2024-01-26 01:00:00,0.27,400,55.67
2024-01-26 02:00:00,-0.4,400,59
2024-01-26 03:00:00,-0.5,400,63.33
2024-01-26 04:00:00,-0.6,400,67.67
2024-01-26 05:00:00,-0.7,400,72
2024-01-26 06:00:00,-0.17,400,71.67
2024-01-26 07:00:00,0.37,400,71.33
2024-01-26 08:00:00,0.9,400,71
2024-01-26 09:00:00,2.8,400,60.33
2024-01-26 10:00:00,4.7,400,49.67
2024-01-26 11:00:00,6.6,400,39
2024-01-26 12:00:00,6.83,400,36
2024-01-26 13:00:00,7.07,400,33
2024-01-26 14:00:00,7.3,400,30
2024-01-26 15:00:00,7.27,400,31.33
2024-01-26 16:00:00,7.23,400,32.67
2024-01-26 17:00:00,7.2,400,34
2024-01-26 18:00:00,6.73,400,36.67
2024-01-26 19:00:00,6.27,400,39.33
2024-01-26 20:00:00,5.8,400,42
2024-01-26 21:00:00,5.53,400,41.67
2024-01-26 22:00:00,5.27,400,41.33
2024-01-26 23:00:00,5,400,41
2024-01-27 00:00:00,4.33,400,44.67
2024-01-27 01:00:00,3.67,400,48.33
2024-01-27 02:00:00,3,400,52
2024-01-27 03:00:00,3.07,400,52
2024-01-27 04:00:00,3.13,400,52
2024-01-27 05:00:00,3.2,400,52
2024-01-27 06:00:00,3.23,400,55.33
2024-01-27 07:00:00,3.27,400,58.67
2024-01-27 08:00:00,3.3,400,62
2024-01-27 09:00:00,4.47,400,57
2024-01-27 10:00:00,5.63,400,52
2024-01-27 11:00:00,6.8,400,47
2024-01-27 12:00:00,7.03,400,44
2024-01-27 13:00:00,7.27,400,41
